StripDate,Date,OilPrice,GasPrice
071521,2021/01,47.74,2.467
071521,2021/02,53.24,2.76
071521,2021/03,61.49,2.854
071521,2021/04,61.55,2.586
071521,2021/05,62.44,2.925
071521,2021/06,62.05,2.984
071521,2021/07,73.03,3.617
071521,2021/08,71.65,3.614
071521,2021/09,71.38,3.601
071521,2021/10,70.64,3.61
071521,2021/11,69.86,3.68
071521,2021/12,69.16,3.791
071521,2022/01,68.52,3.861
071521,2022/02,67.94,3.786
071521,2022/03,67.39,3.557
071521,2022/04,66.87,3.019
071521,2022/05,66.36,2.931
071521,2022/06,65.86,2.962
071521,2022/07,65.36,2.999
071521,2022/08,64.9,3.007
071521,2022/09,64.44,2.992
071521,2022/10,64.03,3.018
071521,2022/11,63.65,3.077
071521,2022/12,63.29,3.198
071521,2023,60.845,2.807916667
071521,2024,57.30666667,2.718416667
071521,2025,54.96083333,2.735333333
